,dia,ponto1,ponto2,ponto3,ponto4
174,2023-08-18,0 days 08:37:00,0 days 12:13:00,0 days 13:59:00,0 days 18:14:00
175,2023-08-17,0 days 08:52:00,0 days 12:20:00,0 days 13:41:00,0 days 18:22:00
176,2023-08-16,0 days 08:40:00,0 days 12:22:00,0 days 13:51:00,0 days 18:04:00
177,2023-08-15,0 days 08:46:00,0 days 12:08:00,0 days 13:39:00,0 days 18:09:00
178,2023-08-14,0 days 08:38:00,0 days 12:27:00,0 days 13:54:00,0 days 18:07:00
179,2023-08-11,0 days 08:38:00,0 days 12:02:00,0 days 13:24:00,0 days 18:13:00
180,2023-08-10,0 days 08:31:00,0 days 12:04:00,0 days 14:01:00,0 days 18:10:00
181,2023-08-09,0 days 08:35:00,0 days 12:18:00,0 days 13:50:00,0 days 18:10:00
182,2023-08-08,0 days 09:22:00,0 days 11:56:00,0 days 13:37:00,0 days 19:08:00
183,2023-08-07,0 days 08:40:00,0 days 12:02:00,0 days 13:35:00,0 days 18:09:00
184,2023-08-04,0 days 08:36:00,0 days 12:30:00,0 days 14:05:00,0 days 18:11:00
185,2023-08-03,0 days 08:39:00,0 days 12:22:00,0 days 13:59:00,0 days 18:10:00
186,2023-08-02,0 days 08:32:00,0 days 12:09:00,0 days 13:33:00,0 days 18:21:00
187,2023-08-01,0 days 08:35:00,0 days 12:12:00,0 days 13:46:00,0 days 18:00:00
188,2023-07-31,0 days 08:37:00,0 days 12:40:00,0 days 13:50:00,0 days 18:02:00
189,2023-07-18,0 days 09:14:00,0 days 12:31:00,0 days 13:34:00,0 days 18:21:00
190,2023-07-17,0 days 08:35:00,0 days 12:44:00,0 days 14:06:00,0 days 18:07:00
191,2023-07-14,0 days 08:45:00,0 days 12:03:00,0 days 13:37:00,0 days 18:26:00
192,2023-07-13,0 days 09:03:00,0 days 12:25:00,0 days 13:38:00,0 days 18:22:00
193,2023-07-12,0 days 08:45:00,0 days 12:15:00,0 days 14:00:00,0 days 18:20:00
194,2023-07-11,0 days 08:45:00,0 days 12:15:00,0 days 13:30:00,0 days 18:02:00
195,2023-07-10,0 days 08:41:00,0 days 12:13:00,0 days 13:49:00,0 days 18:13:00
196,2023-07-07,0 days 08:38:00,0 days 12:09:00,0 days 13:48:00,0 days 18:10:00
197,2023-07-06,0 days 08:45:00,0 days 11:58:00,0 days 13:30:00,0 days 18:27:00
198,2023-07-05,0 days 08:46:00,0 days 12:16:00,0 days 13:55:00,0 days 18:08:00
199,2023-07-04,0 days 08:34:00,0 days 12:06:00,0 days 13:41:00,0 days 18:20:00
200,2023-07-03,0 days 08:44:00,0 days 12:07:00,0 days 13:39:00,0 days 18:32:00
201,2023-06-30,0 days 08:42:00,0 days 12:13:00,0 days 13:55:00,0 days 18:28:00
202,2023-06-29,0 days 08:35:00,0 days 12:21:00,0 days 13:43:00,0 days 18:05:00
203,2023-06-28,0 days 08:42:00,0 days 12:00:00,0 days 13:33:00,0 days 18:29:00
204,2023-06-27,0 days 08:26:00,0 days 12:02:00,0 days 13:45:00,0 days 17:33:00
205,2023-06-26,0 days 08:32:00,0 days 12:17:00,0 days 13:53:00,0 days 18:09:00
206,2023-02-23,0 days 08:31:00,0 days 12:25:00,0 days 13:40:00,0 days 17:13:00
208,2023-02-20,0 days 08:30:00,0 days 12:17:00,0 days 13:56:00,0 days 18:15:00
209,2023-02-17,0 days 08:31:00,0 days 11:30:00,0 days 13:02:00,0 days 18:18:00
210,2023-02-16,0 days 08:30:00,0 days 11:59:00,0 days 13:32:00,0 days 18:09:00
211,2023-02-15,0 days 08:29:00,0 days 11:44:00,0 days 13:34:00,0 days 18:28:00
212,2023-02-14,0 days 08:30:00,0 days 12:29:00,0 days 13:59:00,0 days 18:15:00
213,2023-02-13,0 days 08:29:00,0 days 12:30:00,0 days 13:53:00,0 days 18:00:00
214,2023-02-10,0 days 08:31:00,0 days 12:13:00,0 days 13:41:00,0 days 18:26:00
215,2023-02-09,0 days 08:31:00,0 days 12:07:00,0 days 13:33:00,0 days 18:08:00
216,2023-02-08,0 days 08:30:00,0 days 12:11:00,0 days 13:53:00,0 days 18:34:00
217,2023-02-07,0 days 08:29:00,0 days 11:01:00,0 days 12:38:00,0 days 18:04:00
218,2023-02-06,0 days 08:38:00,0 days 12:08:00,0 days 13:42:00,0 days 18:03:00
219,2023-02-03,0 days 08:31:00,0 days 11:52:00,0 days 13:34:00,0 days 18:04:00
220,2023-02-02,0 days 08:30:00,0 days 12:11:00,0 days 13:42:00,0 days 18:22:00
221,2023-02-01,0 days 08:32:00,0 days 12:06:00,0 days 13:38:00,0 days 18:11:00
222,2023-01-31,0 days 08:30:00,0 days 12:11:00,0 days 12:59:00,0 days 18:21:00
